,classes,3,4,12,15,18,22,27,33,Total,bacia,model,version,year
0,3,0,14,1,0,0,1,0,4,20,751,Spatial,9,2020
1,4,0,138,0,0,0,0,0,1,139,751,Spatial,9,2020
2,12,0,6,0,0,0,2,0,0,8,751,Spatial,9,2020
3,15,0,0,0,0,0,0,0,0,0,751,Spatial,9,2020
4,18,0,0,0,0,0,0,0,0,0,751,Spatial,9,2020
5,22,0,5,1,0,0,5,0,0,11,751,Spatial,9,2020
6,27,0,0,0,0,0,0,0,0,0,751,Spatial,9,2020
7,33,0,0,0,0,0,1,0,2,3,751,Spatial,9,2020
8,Total,0,163,2,0,0,9,0,7,181,751,Spatial,9,2020
9,3,0,0,0,0,0,0,0,0,0,773,Spatial,9,2003
10,4,1,3,0,0,0,1,0,0,5,773,Spatial,9,2003
11,12,1,0,0,0,0,0,0,0,1,773,Spatial,9,2003
12,15,0,0,0,0,0,0,0,0,0,773,Spatial,9,2003
13,18,0,0,0,0,0,0,0,0,0,773,Spatial,9,2003
14,22,0,0,0,0,0,1,0,0,1,773,Spatial,9,2003
15,27,0,0,0,0,0,0,0,0,0,773,Spatial,9,2003
16,33,0,0,0,0,0,0,0,0,0,773,Spatial,9,2003
17,Total,2,3,0,0,0,2,0,0,7,773,Spatial,9,2003
18,3,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
19,4,13,62,0,0,0,0,0,0,75,7614,Spatial,5,2014
20,12,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
21,15,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
22,18,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
23,22,0,0,0,0,0,2,0,0,2,7614,Spatial,5,2014
24,27,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
25,33,0,0,0,0,0,0,0,0,0,7614,Spatial,5,2014
26,Total,13,62,0,0,0,2,0,0,77,7614,Spatial,5,2014
27,3,0,4,0,0,0,0,0,0,4,755,Spatial,9,1987
28,4,0,154,0,0,0,3,0,0,157,755,Spatial,9,1987
29,12,0,1,0,0,0,4,0,0,5,755,Spatial,9,1987
30,15,0,0,0,0,0,0,0,0,0,755,Spatial,9,1987
31,18,0,0,0,0,0,0,0,0,0,755,Spatial,9,1987
32,22,0,0,0,0,0,5,0,0,5,755,Spatial,9,1987
33,27,0,0,0,0,0,0,0,0,0,755,Spatial,9,1987
34,33,0,1,0,0,0,0,0,2,3,755,Spatial,9,1987
35,Total,0,160,0,0,0,12,0,2,174,755,Spatial,9,1987
36,3,5,2,0,0,0,0,0,0,7,745,Spatial,10,1999
37,4,24,22,0,0,0,2,0,0,48,745,Spatial,10,1999
38,12,0,0,0,0,0,1,0,0,1,745,Spatial,10,1999
39,15,0,0,0,0,0,0,0,0,0,745,Spatial,10,1999
40,18,0,0,0,0,0,0,0,0,0,745,Spatial,10,1999
41,22,0,0,0,0,0,0,0,0,0,745,Spatial,10,1999
42,27,0,0,0,0,0,0,0,0,0,745,Spatial,10,1999
43,33,0,0,0,0,0,0,0,0,0,745,Spatial,10,1999
44,Total,29,24,0,0,0,3,0,0,56,745,Spatial,10,1999
45,3,0,14,0,0,0,0,0,0,14,765,Spatial,9,1998
46,4,0,75,0,0,0,2,0,0,77,765,Spatial,9,1998
47,12,0,0,0,0,0,0,0,0,0,765,Spatial,9,1998
48,15,0,0,0,0,0,0,0,0,0,765,Spatial,9,1998
49,18,0,0,0,0,0,0,0,0,0,765,Spatial,9,1998
50,22,0,1,0,0,0,4,0,0,5,765,Spatial,9,1998
